,Well Name,Ct (dR)
X01M,01M,22.57
X33M,33M,32.85
X66M,66M,36.36
X19M,19M,29.7
X47M,47M,33.27
X02M,02M,33.51
X34M,34M,19.1
X03M,03M,23.54
X37M,37M,29.18
X72M,72M,32.94
X23M,23M,24.23
X52M,52M,30.43
X06M,06M,35.27
X38M,38M,28.21
X69M,69M,23.43
X24M,24M,33.77
X07M,07M,36.18
X41M,41M,25.46
X27M,27M,28.4
X56M,56M,31.92
X10M,10M,31.29
X43M,43M,28.82
X71M,71M,33.79
X29M,29M,29.21
X62M,62M,31.1
X12M,12M,25.56
X80M,80M,34.93
X30M,30M,31.69
X60M,60M,27.97
X14M,14M,34
X46M,46M,38.67
X32M,32M,33.24
X67M,67M,32.24
X16M,16M,33.74
X49M,49M,26.01
X04M,04M,24.04
X65M,65M,26.97
X18M,18M,35.62
X50M,50M,23.93
X05M,05M,34.89
X36M,36M,35.16
X20M,20M,30.54
X51M,51M,34.14
X08M,08M,25.89
X39M,39M,22.9
X22M,22M,20.17
X09M,09M,29.25
X42M,42M,29.88
X25M,25M,24.63
X58M,58M,26.87
X11M,11M,29.39
X40M,40M,29.08
X26M,26M,29.75
X57M,57M,27.24
X13M,13M,24.16
X48M,48M,28.03
X77M,77M,27.87
X28M,28M,20.68
X15M,15M,23.07
X31M,31M,30.8
X04C,04C,18.1
X13C,13C,24.38
X08C,08C,26.25
X59C,59C,28.32
X18C,18C,24.91
X22C,22C,16.18
X15C,15C,18.58
X62C,62C,24.71
X52C,52C,25.23
X27C,27C,23.25
X67C,67C,26.99
X56C,56C,21.53
X47C,47C,24.12
X32C,32C,26.11
X73C,73C,22.85
X38C,38C,23.57
X50C,50C,23.8
X35C,35C,24.87
X76C,76C,21.68
X43C,43C,27.35
X65C,65C,20.98
X39C,39C,22.48
X80C,80C,29.4
X30C,30C,23.94
X69C,69C,23.03
X44C,44C,27.98
X70C,70C,18.86
X01C,01C,19.77
X54C,54C,21.07
X17C,17C,22.85
X57C,57C,25.6
X16C,16C,23.53
X49C,49C,19.86
X79C,79C,24.47
X31C,31C,22.87
X19C,19C,23.65
X61C,61C,26.29
X23C,23C,19.3
X51C,51C,28.18
X05C,05C,23.13
X34C,34C,18.5
X25C,25C,22.23
X78C,78C,21.76
X26C,26C,22.65
X58C,58C,24.96
X09C,09C,22.6
X41C,41C,21.83
X28C,28C,18.61
X75C,75C,21.34
X29C,29C,26.71
X60C,60C,26.07
X10C,10C,23.46
X48C,48C,22.58
X37C,37C,22.89
X63C,63C,26.92
X33C,33C,31.2
X64C,64C,21.76
X12C,12C,24.77
X55C,55C,25.35
X42C,42C,19.62
X02C,02C,29.82
X36C,36C,28.05
X68C,68C,26.1
X14C,14C,26.11
X66C,66C,23.33
X03C,03C,18.64
X46C,46C,27.92
X06C,06C,22.59
X40C,40C,24.99
X71C,71C,25.68
X20C,20C,22.78
X72C,72C,21.47
X07C,07C,28.87
X53C,53C,22.24
X11C,11C,21.69
X45C,45C,28.23
X74C,74C,25.92
X24C,24C,25.63
X77C,77C,23.29
